cpt,delta,h,method,name
214.153,4.150159,0.5,0,experimento1-3
214.153,0.697598,0.8,0,experimento1-3
214.153,0.309977,1.0,0,experimento1-3
214.153,0.139587,1.25,0,experimento1-3
214.153,0.02924,2.0,0,experimento1-3
214.153,0.014491,2.5,0,experimento1-3
214.153,0.003785,4.0,0,experimento1-3
225.76,0.002216,5.0,0,experimento1-3
235.591,0.001358,6.25,0,experimento1-3
263.996,0.000583,10.0,0,experimento1-3
250.729,0.000382,12.5,0,experimento1-3
214.153,8.92644,0.5,1,experimento1-3
214.153,1.429679,0.8,1,experimento1-3
214.153,0.609212,1.0,1,experimento1-3
214.153,0.266474,1.25,1,experimento1-3
214.153,0.050031,2.0,1,experimento1-3
214.153,0.023435,2.5,1,experimento1-3
214.153,0.005649,4.0,1,experimento1-3
225.76,0.002957,5.0,1,experimento1-3
235.591,0.001726,6.25,1,experimento1-3
263.996,0.000605,10.0,1,experimento1-3
250.729,0.000432,12.5,1,experimento1-3
