cpt,delta,h,method,name,removed_leech,slp
787.29,0.009994,0.75,2,experimento3-1-0,41.0,0.0408163
787.29,0.010495,0.75,3,experimento3-1-0,41.0,0.0408163
1043.47,0.010081,0.75,2,experimento3-1-1,47.0,0.0
1043.47,0.010206,0.75,3,experimento3-1-1,47.0,0.0
1043.47,0.010445,0.75,2,experimento3-1-2,47.0,0.0612245
1043.47,0.010566,0.75,3,experimento3-1-2,47.0,0.0612245
796.141,0.015823,0.75,2,experimento3-1-3,26.0,0.102041
796.141,0.011247,0.75,3,experimento3-1-3,26.0,0.102041
811.393,0.011098,0.75,2,experimento3-1-4,26.0,0.265306
811.393,0.010844,0.75,3,experimento3-1-4,26.0,0.265306
796.141,0.011319,0.75,2,experimento3-1-5,41.0,0.265306
796.141,0.010388,0.75,3,experimento3-1-5,41.0,0.265306
778.438,0.00971,0.75,2,experimento3-1-6,41.0,0.306122
778.438,0.010101,0.75,3,experimento3-1-6,41.0,0.306122
778.438,0.010217,0.75,2,experimento3-1-7,47.0,0.428571
778.438,0.010008,0.75,3,experimento3-1-7,47.0,0.428571
266.678,0.009894,0.75,2,experimento3-1-8,41.0,0.469388
266.678,0.010173,0.75,3,experimento3-1-8,41.0,0.469388
206.665,0.011702,0.75,2,experimento3-1-9,24.0,0.530612
206.665,0.010624,0.75,3,experimento3-1-9,24.0,0.530612
226.968,0.000322,0.75,2,experimento3-1-10,-1.0,0.510204
226.968,0.000357,0.75,3,experimento3-1-10,-1.0,0.510204
787.29,0.010022,0.75,2,experimento3-1-0,41.0,0.0408163
787.29,0.011315,0.75,3,experimento3-1-0,41.0,0.0408163
1043.47,0.010239,0.75,2,experimento3-1-1,47.0,0.0
1043.47,0.009857,0.75,3,experimento3-1-1,47.0,0.0
1043.47,0.010377,0.75,2,experimento3-1-2,47.0,0.0612245
1043.47,0.01002,0.75,3,experimento3-1-2,47.0,0.0612245
796.141,0.009979,0.75,2,experimento3-1-3,26.0,0.102041
796.141,0.010169,0.75,3,experimento3-1-3,26.0,0.102041
811.393,0.009931,0.75,2,experimento3-1-4,26.0,0.265306
811.393,0.010176,0.75,3,experimento3-1-4,26.0,0.265306
796.141,0.010969,0.75,2,experimento3-1-5,41.0,0.265306
796.141,0.009936,0.75,3,experimento3-1-5,41.0,0.265306
778.438,0.010105,0.75,2,experimento3-1-6,41.0,0.306122
778.438,0.009889,0.75,3,experimento3-1-6,41.0,0.306122
778.438,0.010475,0.75,2,experimento3-1-7,47.0,0.428571
778.438,0.010173,0.75,3,experimento3-1-7,47.0,0.428571
266.678,0.009669,0.75,2,experimento3-1-8,41.0,0.469388
266.678,0.00986,0.75,3,experimento3-1-8,41.0,0.469388
206.665,0.009993,0.75,2,experimento3-1-9,24.0,0.530612
206.665,0.009825,0.75,3,experimento3-1-9,24.0,0.530612
226.968,0.000329,0.75,2,experimento3-1-10,-1.0,0.510204
226.968,0.00035,0.75,3,experimento3-1-10,-1.0,0.510204
787.29,0.010131,0.75,2,experimento3-1-0,41.0,0.0408163
787.29,0.011523,0.75,3,experimento3-1-0,41.0,0.0408163
1043.47,0.009866,0.75,2,experimento3-1-1,47.0,0.0
1043.47,0.009978,0.75,3,experimento3-1-1,47.0,0.0
1043.47,0.009956,0.75,2,experimento3-1-2,47.0,0.0612245
1043.47,0.010204,0.75,3,experimento3-1-2,47.0,0.0612245
